i1,i2,A,D,R2,retrace,M,score,dir,x_start,x_end,a_start,a_end,b_start,b_end,c_start,c_end,d_start,d_end
620,632,25.09774490503787,12,0.9094781713093711,0.3623619246272371,0.9166666666666666,1.111812150609488,1,645,660,146,149,140,145,90,99,150,156
804,835,81.64124605609834,31,0.873242808438676,0.32481014488526605,0.7096774193548387,1.1019701833114839,-1,838,870,177,167,169,156,139,122,212,196
781,803,42.70321865394038,22,0.8913714070310188,0.32366052235872883,0.8181818181818182,0.9574391683404353,1,814,837,169,177,159,171,121,141,196,214
