x,a,b,c,d,index_value
288,47,87,34,31,181
289,48,86,34,32,181
290,48,86,32,32,180
291,49,86,32,33,179
292,49,85,30,33,177
293,50,85,29,34,179
295,51,87,29,36,182
296,53,88,29,38,187
297,54,90,30,40,190
298,56,94,33,42,201
299,57,95,35,43,203
300,58,97,38,44,208
301,59,97,39,44,207
302,59,97,38,44,205
303,59,95,37,44,198
304,58,93,36,44,194
305,58,90,33,43,181
306,57,88,31,41,176
307,56,86,29,40,169
308,56,85,27,39,171
309,56,84,26,39,172
310,55,84,26,39,171
311,55,84,26,39,164
312,56,83,24,39,161
313,56,82,23,39,155
314,56,81,22,38,154
315,55,81,22,37,154
316,55,81,22,37,153
317,55,80,21,37,152
318,55,80,19,37,156
319,55,80,19,37,158
320,55,81,20,38,160
321,56,83,20,39,163
322,56,85,21,39,164
323,57,86,21,40,171
324,58,87,22,40,175
325,58,88,23,41,178
326,58,88,23,41,179
327,58,88,23,41,178
328,58,88,23,41,177
329,58,87,23,41,170
330,58,87,22,41,165
331,58,85,21,40,156
332,58,84,21,40,148
333,58,82,19,39,142
334,57,81,18,39,136
335,57,81,17,38,135
336,57,82,17,38,138
337,57,84,18,38,143
338,57,84,19,38,146
339,57,84,18,38,146
340,57,84,18,38,144
341,57,83,17,38,143
342,57,83,16,37,141
343,57,83,16,37,140
344,57,83,16,37,140
345,57,83,15,37,138
346,57,82,15,37,132
347,57,75,14,36,126
348,56,72,12,34,119
349,54,65,7,28,116
351,51,67,7,29,127
352,53,71,10,31,141
353,54,74,11,32,150
354,55,76,14,33,161
355,55,78,17,33,166
356,55,78,19,33,171
357,55,79,18,34,172
358,56,80,18,35,175
359,57,82,18,37,182
360,60,85,19,40,189
361,61,88,23,42,196
362,62,90,26,43,202
363,63,90,27,44,202
364,64,91,27,45,203
365,64,91,27,45,205
366,64,92,27,46,207
367,65,92,27,48,209
368,66,92,26,49,211
369,67,93,26,49,212
370,67,98,26,49,214
371,67,100,27,48,218
372,67,107,30,49,224
373,69,109,33,52,228
374,70,111,36,53,233
375,70,111,38,54,234
376,71,111,37,54,235
377,71,111,37,56,237
379,74,113,37,59,243
380,74,113,39,60,246
381,75,114,39,61,247
383,77,115,39,62,250
384,77,115,39,64,249
385,78,115,39,64,248
386,78,115,39,64,248
387,78,115,38,64,250
388,78,115,37,65,249
389,79,115,37,65,247
390,79,115,36,65,244
391,79,114,35,65,239
392,79,113,34,65,239
393,79,112,33,64,234
394,78,111,32,64,232
395,78,111,32,64,230
396,78,110,29,64,229
397,78,109,29,64,228
398,78,109,28,64,226
399,79,108,27,65,228
400,79,109,27,67,229
401,81,111,28,68,235
402,81,111,29,68,236
403,81,111,30,70,237
404,82,111,29,70,237
405,83,111,29,70,236
406,83,111,29,70,234
407,84,111,28,72,234
408,84,113,28,73,240
409,85,114,28,73,241
410,85,114,30,73,242
411,85,114,29,73,241
412,85,113,28,75,242
413,88,115,28,77,248
414,88,117,28,78,250
415,88,119,30,78,257
416,88,119,32,78,257
417,88,118,31,78,253
418,88,117,30,78,247
419,88,116,29,78,244
420,88,115,27,78,240
421,89,114,26,78,240
422,89,114,25,79,246
423,89,115,25,79,248
424,89,115,26,79,255
425,89,115,26,79,256
426,89,116,25,79,259
427,89,116,25,79,254
428,89,116,27,79,251
429,89,115,26,79,244
430,89,115,26,79,245
431,89,115,26,79,253
432,89,115,29,79,254
433,90,115,29,79,256
434,90,116,28,80,258
435,90,117,28,81,262
436,91,119,29,83,265
437,92,120,32,84,270
438,93,121,34,85,272
439,94,122,35,87,277
440,95,124,36,89,279
441,96,125,38,90,278
442,97,124,39,90,276
443,97,123,38,90,271
444,97,123,38,91,274
446,98,123,38,92,276
447,98,123,38,92,275
448,99,123,38,93,272
450,99,122,38,93,262
451,99,120,37,93,257
452,99,118,35,92,247
453,98,116,34,90,248
454,97,115,33,90,250
455,97,115,33,90,254
456,97,116,32,90,255
457,97,116,32,90,255
458,97,117,33,91,259
459,98,117,33,91,262
460,98,117,34,91,266
461,98,118,33,91,267
462,98,119,33,93,268
463,99,120,33,93,270
464,99,120,35,93,275
465,99,120,36,93,276
466,99,120,36,94,274
468,100,120,36,94,272
469,100,119,35,94,272
471,100,119,35,94,272
473,100,121,35,95,274
474,101,122,36,96,277
475,102,123,36,97,278
476,102,123,38,97,281
477,102,123,39,97,279
478,102,123,39,97,277
479,102,122,38,97,273
480,102,121,37,97,274
481,101,121,37,96,275
482,102,121,38,97,276
484,102,122,38,98,277
485,103,122,38,98,279
486,103,122,38,98,278
487,103,122,39,98,277
488,103,122,39,98,273
489,102,121,38,98,273
490,102,121,38,97,273
491,102,121,38,97,268
