x,a,b,c,d,index_value
293,245,35,84,224,366
294,244,32,80,220,341
295,243,28,76,212,327
296,241,26,71,210,308
297,239,23,71,209,298
298,238,23,69,206,304
299,240,27,69,205,320
300,241,30,70,206,337
301,241,34,77,214,347
302,241,35,80,215,353
303,241,35,80,215,347
304,241,35,78,215,346
305,241,36,78,216,347
306,242,36,77,217,349
307,241,37,76,218,350
308,241,38,76,220,353
309,243,40,79,221,362
310,243,41,79,221,365
311,243,41,81,223,371
312,243,41,80,224,371
313,243,41,79,223,360
314,243,40,77,222,360
315,241,39,77,221,354
316,241,39,75,220,359
317,241,39,75,220,361
318,241,39,76,220,356
319,241,39,76,219,353
320,241,38,73,219,344
321,241,38,72,219,333
322,241,37,70,218,331
323,241,36,70,218,323
324,241,36,69,218,328
325,241,36,69,218,329
326,241,36,69,218,327
327,241,37,70,219,326
328,242,37,72,220,328
329,242,38,72,220,334
330,242,39,72,221,324
331,241,39,73,220,323
332,241,38,72,219,315
333,241,38,72,219,314
334,240,37,71,217,318
335,239,37,69,215,317
336,239,37,71,214,316
337,239,36,70,214,301
338,239,36,69,212,300
339,239,35,68,210,293
340,238,34,66,209,301
341,237,34,66,207,302
342,237,34,66,207,302
343,236,34,65,207,301
344,236,33,62,206,299
345,236,33,62,205,301
346,236,34,62,205,301
347,236,34,62,205,303
348,235,33,61,204,303
349,234,33,61,191,303
350,232,31,60,189,302
351,231,30,60,190,293
352,231,29,59,188,292
353,230,30,57,188,295
354,231,32,58,188,304
355,231,34,61,189,314
356,231,35,63,191,312
357,232,35,64,192,308
358,233,37,63,192,304
359,234,39,64,193,310
360,234,41,68,197,322
361,235,42,71,201,330
362,235,42,72,202,326
363,235,41,72,204,324
364,235,40,70,203,309
365,234,38,68,202,305
366,234,38,64,201,302
367,234,38,63,201,304
368,234,38,63,201,301
369,234,37,61,201,301
370,234,35,60,200,293
371,233,32,57,192,275
372,231,31,55,190,270
373,230,29,53,189,256
374,230,27,52,186,256
375,229,26,49,181,250
376,228,25,47,179,248
377,227,24,46,178,248
378,226,25,46,178,249
379,226,26,47,177,255
380,226,27,47,177,256
381,226,27,46,177,258
382,227,28,47,178,260
383,227,28,46,178,260
384,227,28,46,178,255
385,226,28,45,178,248
386,226,28,45,176,243
387,225,27,44,174,236
388,225,26,41,173,236
389,225,25,40,172,236
390,224,24,40,170,240
391,222,23,40,163,236
392,221,22,36,160,234
393,221,22,36,158,229
394,220,23,36,157,234
395,220,24,39,155,238
396,219,24,39,154,242
397,219,24,39,153,245
398,219,26,39,153,245
399,219,27,39,150,235
400,218,26,40,148,231
401,217,25,39,143,223
402,215,24,38,140,224
403,214,23,37,138,219
404,214,23,37,137,218
405,214,21,35,134,212
406,213,20,34,132,208
407,212,16,32,132,192
408,211,14,30,120,179
409,209,10,25,117,161
414,204,3,22,109,120
415,202,2,20,104,110
416,199,1,18,92,116
417,198,2,17,88,116
418,198,3,19,84,137
419,198,4,21,84,144
420,198,5,21,84,149
421,198,7,22,83,156
422,198,10,24,84,168
423,198,12,27,85,180
424,199,13,30,87,187
