x,a,b,c,d,index_value
6,200,28,93,180,330
7,162,36,85,178,330
8,142,41,84,177,328
9,131,53,85,176,347
11,107,65,111,174,350
12,122,76,110,174,358
13,128,77,106,174,365
14,128,80,106,174,369
15,129,80,119,174,371
16,129,82,118,173,369
17,128,83,114,172,371
18,128,83,110,172,368
19,127,78,114,172,350
20,119,73,118,171,337
21,105,66,108,169,331
22,91,60,99,167,319
23,85,56,94,166,313
25,61,48,97,162,308
26,45,40,89,159,300
27,30,36,82,158,294
28,20,33,72,156,287
29,13,35,81,154,280
30,13,42,86,154,290
31,14,48,85,153,297
32,24,58,83,153,314
33,36,68,97,154,329
34,38,75,108,154,339
35,38,79,108,154,337
36,41,75,104,154,332
37,50,75,96,154,333
38,58,79,104,155,334
39,59,84,110,155,340
40,59,85,109,155,341
41,62,86,105,154,348
42,62,86,115,153,349
43,61,85,116,153,346
44,56,85,113,151,342
45,56,86,110,151,343
46,59,86,109,151,342
47,59,82,113,151,336
48,58,78,109,150,332
49,56,75,104,150,327
50,56,77,99,149,328
51,55,78,107,149,330
52,54,76,110,148,324
53,53,75,104,148,324
54,60,80,99,147,322
55,62,81,98,147,323
56,62,80,110,147,319
57,61,72,107,147,312
58,59,68,99,147,298
59,52,58,92,144,289
60,51,56,97,143,279
61,38,52,94,141,274
62,30,53,92,138,272
63,30,57,88,137,276
64,35,64,88,137,294
65,37,69,97,138,294
66,42,77,104,138,306
67,45,78,103,139,308
68,49,80,103,139,308
69,50,77,105,139,303
70,51,76,102,139,297
71,54,76,97,139,295
72,60,79,96,141,299
73,70,85,96,142,305
74,74,90,105,142,307
75,74,90,113,142,303
76,73,87,111,142,295
77,70,82,104,141,286
78,69,82,106,140,284
79,68,84,106,140,290
80,67,84,103,139,291
81,67,83,103,139,286
82,65,84,99,137,283
83,70,89,103,138,295
84,77,97,107,140,296
85,78,102,112,140,301
86,83,108,116,141,315
87,102,119,120,144,313
88,102,123,126,145,321
89,103,131,138,145,328
90,103,126,140,144,319
91,102,122,136,144,317
92,97,116,137,142,305
93,97,113,135,142,301
94,96,111,130,141,296
95,96,110,127,141,295
96,96,107,127,141,294
97,95,106,128,140,295
98,89,106,126,139,291
99,95,107,124,139,296
100,104,113,126,141,302
101,104,113,130,141,300
102,103,109,131,141,288
103,99,104,125,138,288
104,92,100,122,137,283
105,92,96,123,137,276
106,90,93,120,136,279
107,85,88,115,134,269
108,82,85,111,133,264
109,81,88,107,132,277
110,81,91,110,132,277
111,87,98,114,133,290
112,89,102,117,133,297
113,90,105,118,133,302
114,93,107,120,134,302
115,93,107,122,134,300
116,94,108,121,134,301
117,99,114,120,136,305
118,105,120,121,137,317
119,105,125,130,137,322
120,106,131,136,137,330
121,107,132,137,137,331
122,109,132,138,137,332
123,109,129,138,137,327
124,110,128,138,137,327
125,111,125,133,137,325
126,113,124,132,137,322
127,113,120,129,137,319
128,113,118,129,137,313
129,112,114,124,137,308
130,112,112,122,137,304
131,113,111,119,137,302
132,114,109,117,137,301
133,115,110,117,137,301
134,115,110,116,137,303
135,116,112,116,137,304
136,122,117,116,139,311
137,133,124,121,142,313
138,134,128,127,143,320
139,135,134,134,143,320
140,139,138,136,144,326
141,150,149,139,147,335
142,161,158,147,150,349
143,165,170,159,153,365
144,169,179,172,155,378
145,170,182,178,155,374
146,172,181,184,156,379
147,174,180,183,157,372
148,174,177,179,157,371
149,174,174,178,157,367
150,174,169,172,156,360
151,174,164,172,156,354
152,173,158,169,155,344
153,171,150,162,155,337
154,167,142,156,153,318
155,164,136,151,152,310
156,157,133,147,150,303
157,156,135,147,148,302
158,155,137,148,148,308
159,154,138,148,147,304
160,153,134,150,147,308
161,150,131,147,145,301
162,149,126,143,145,295
163,146,125,142,143,293
164,147,127,146,143,301
165,147,132,148,143,297
166,147,133,150,143,304
167,147,135,149,142,305
168,148,137,149,143,307
169,149,141,153,143,314
170,150,144,155,143,320
171,152,146,156,144,328
172,155,148,156,146,335
173,158,150,157,147,343
174,160,152,158,147,337
175,161,154,160,148,348
176,165,157,162,149,354
177,171,163,162,151,360
178,175,167,167,153,369
179,178,175,173,155,379
180,184,181,176,158,391
181,190,183,182,160,395
183,193,187,190,161,396
184,195,186,188,162,396
185,196,183,186,162,396
186,197,182,182,162,397
187,198,182,182,163,404
188,200,183,182,164,406
189,202,184,181,164,411
190,204,185,181,166,414
191,206,185,183,166,415
192,211,188,184,168,426
193,215,191,184,170,420
194,217,196,187,171,433
196,221,199,196,173,439
197,223,197,196,174,435
198,225,196,193,175,434
199,225,193,192,175,422
200,225,189,190,175,427
201,224,184,187,174,412
202,224,179,181,174,404
203,223,174,178,174,397
204,223,171,174,174,391
205,222,166,172,173,387
206,222,165,169,173,381
207,223,163,166,173,386
208,223,162,165,173,384
209,223,160,164,173,381
210,223,157,161,173,377
211,222,153,159,173,368
212,222,151,155,173,366
213,223,149,153,173,369
214,224,150,154,174,372
215,225,152,154,174,376
216,226,153,155,175,382
218,230,154,155,177,383
219,231,153,158,177,380
220,232,152,157,177,379
221,232,150,154,177,377
222,232,149,152,177,376
223,232,147,152,177,374
224,232,146,152,177,374
225,231,145,150,177,371
226,231,144,147,177,370
227,230,140,146,177,363
228,227,136,146,177,359
229,225,132,141,175,352
230,224,128,139,174,346
231,224,126,136,173,340
232,223,125,136,173,339
233,223,123,135,173,335
234,222,120,134,173,334
235,221,117,130,172,326
236,220,114,126,171,324
237,220,114,127,171,319
239,220,115,127,171,323
240,220,115,126,171,322
241,220,115,127,171,322
242,220,115,127,171,324
243,220,114,127,171,323
244,220,112,123,171,319
245,220,111,122,171,316
246,219,109,122,170,312
247,217,110,122,170,313
248,217,110,121,169,314
249,217,110,121,169,312
250,217,109,122,169,311
251,216,109,121,169,310
252,216,109,120,168,311
253,215,111,120,168,315
254,215,111,120,168,316
255,215,111,123,168,318
256,215,109,122,168,315
257,214,108,119,168,315
259,214,106,119,167,310
260,214,107,119,167,313
261,215,109,119,168,317
262,215,110,121,168,321
263,215,109,121,168,320
264,215,108,121,168,314
265,214,106,119,167,313
266,214,105,118,167,310
268,212,106,118,166,310
269,212,106,118,166,310
270,213,107,118,166,314
271,213,107,118,166,315
272,213,107,118,166,315
273,213,106,118,166,313
274,212,105,117,166,311
275,211,105,115,166,311
276,210,106,115,165,312
277,210,106,117,165,312
278,211,109,117,165,314
279,211,110,119,165,314
280,212,111,121,165,321
281,212,110,120,166,318
282,212,109,120,166,313
283,213,111,120,166,311
284,214,112,121,166,310
285,214,115,122,166,310
286,215,117,122,167,315
287,215,118,125,167,318
288,215,117,126,167,321
289,215,116,124,167,319
290,215,116,123,167,317
291,215,116,124,167,314
292,215,114,124,167,311
293,214,111,121,167,306
294,212,107,119,165,302
295,210,105,118,164,289
296,208,101,116,163,288
297,206,99,115,162,284
298,205,98,114,162,281
299,204,97,113,160,277
300,204,94,113,160,269
301,202,92,113,160,262
302,199,91,111,159,259
303,197,91,112,156,257
304,196,91,112,155,256
305,195,91,114,155,252
307,193,91,115,154,247
308,192,91,115,153,244
309,191,91,116,152,242
310,191,89,117,152,235
311,190,86,115,152,236
312,188,84,113,151,230
314,187,85,114,149,227
315,186,82,113,149,218
316,185,80,112,148,214
317,183,75,109,147,205
318,182,73,109,146,201
319,180,71,106,146,195
320,179,72,105,144,197
321,178,74,105,143,205
322,177,75,105,143,207
323,177,75,107,143,207
324,177,74,106,142,204
325,176,76,105,141,207
326,176,77,105,141,210
327,177,80,108,141,213
328,177,81,108,141,216
329,177,81,108,141,218
330,176,80,107,141,218
331,175,80,106,141,220
332,175,81,106,140,225
333,176,85,107,140,232
334,177,86,107,141,239
335,177,87,110,141,240
336,177,85,111,141,232
337,176,81,108,141,226
338,175,80,104,140,222
339,174,79,103,139,223
340,173,75,103,139,215
341,171,73,102,138,213
342,165,69,99,134,210
343,163,70,99,132,215
344,163,70,98,131,218
345,163,70,100,131,217
346,161,68,99,131,214
347,160,65,97,130,204
348,160,62,95,129,197
349,159,60,93,129,194
350,157,54,91,128,186
351,155,53,91,126,182
352,146,49,88,122,179
353,145,47,88,120,178
354,143,44,88,118,172
355,140,41,86,116,171
356,135,39,85,114,164
357,133,41,84,111,165
358,132,44,84,109,167
359,132,47,89,109,171
360,132,49,92,109,169
361,132,49,90,109,167
362,131,49,89,108,168
363,131,49,89,108,166
364,131,48,88,108,162
365,129,47,88,107,158
366,127,44,86,106,157
367,125,42,86,104,153
368,122,39,85,102,150
369,119,40,83,99,150
370,117,43,83,96,155
371,118,49,87,97,163
372,119,54,91,98,175
373,120,60,95,98,183
374,122,66,98,98,194
375,124,71,102,100,201
376,125,76,105,101,210
377,126,79,108,101,213
378,127,83,109,102,219
379,128,84,111,102,220
380,128,81,111,102,210
381,127,80,108,102,216
382,126,80,106,101,211
383,128,82,106,101,217
384,129,87,109,102,228
385,131,89,110,103,235
386,132,91,113,104,238
