x,a,b,c,d,index_value
5,140,72,182,151,397
6,78,70,172,152,415
7,86,70,172,152,421
8,93,72,173,153,454
9,114,68,168,153,456
10,114,61,162,153,446
11,113,55,158,149,442
14,162,54,144,159,461
15,184,58,148,161,476
16,187,53,151,162,470
17,189,49,144,163,464
18,189,43,134,163,449
19,201,41,126,165,444
20,201,40,122,167,440
21,204,41,123,168,442
22,220,42,120,171,444
23,225,45,122,173,453
24,226,44,122,174,453
25,229,43,122,175,453
26,237,42,116,177,456
27,243,43,111,178,456
28,243,41,109,179,451
29,242,40,108,179,447
30,240,39,107,179,435
31,240,37,104,179,429
32,239,33,99,178,420
33,235,30,93,178,404
34,233,26,92,177,392
35,229,23,89,177,373
36,227,21,84,177,365
37,223,24,79,178,371
38,226,26,78,179,372
39,233,33,84,181,385
40,234,35,87,184,386
41,241,38,87,185,399
42,241,39,87,185,399
43,240,41,92,185,408
44,240,39,94,186,408
45,240,37,89,186,395
46,239,34,83,184,390
47,237,31,79,182,372
48,236,29,79,181,365
49,227,23,73,180,353
50,222,20,68,178,340
51,219,16,63,178,331
52,213,14,63,178,324
53,211,12,59,179,320
54,213,16,57,181,331
55,221,18,55,183,332
56,221,21,58,183,332
57,220,22,63,183,326
58,219,23,62,184,323
59,219,25,60,184,322
60,219,25,60,185,322
61,219,26,63,184,323
62,219,28,62,184,330
63,218,30,62,184,332
64,217,31,61,175,341
66,216,25,60,170,333
67,189,18,55,169,309
68,182,17,53,168,308
69,184,19,50,169,307
70,184,22,53,172,319
71,195,31,57,173,341
72,202,35,61,179,355
73,204,41,68,176,368
74,204,40,72,175,364
75,203,38,71,175,362
76,189,35,71,175,356
77,189,34,67,172,354
78,189,28,66,159,329
81,143,6,50,153,281
82,139,5,47,150,274
83,132,5,45,149,271
84,131,7,46,149,275
85,131,9,46,149,276
86,131,11,45,149,277
87,132,13,44,149,275
88,132,14,46,151,270
89,134,18,48,152,277
90,138,20,47,153,280
91,140,25,49,153,295
92,140,25,50,153,287
93,139,24,51,151,286
94,135,24,50,152,278
95,141,27,48,153,282
96,141,29,50,153,284
97,140,28,52,151,282
98,138,26,51,151,261
99,136,22,49,150,260
100,134,20,44,144,241
101,125,19,42,142,241
102,123,21,44,142,246
103,123,22,43,142,248
104,122,24,43,142,251
106,122,24,43,140,243
107,120,24,44,140,241
108,120,25,42,141,241
109,122,25,41,141,235
110,122,25,40,141,229
111,121,24,40,139,224
112,120,25,38,140,225
113,121,26,38,140,228
114,121,22,39,140,219
115,120,21,36,136,209
116,115,17,33,132,199
117,109,16,32,130,191
118,105,18,32,129,200
119,106,19,30,129,200
120,106,22,35,129,209
121,105,23,36,126,213
122,103,24,35,128,216
123,105,30,35,131,227
124,111,32,36,132,230
125,111,39,43,132,244
126,112,40,46,133,244
127,112,41,46,133,241
128,114,42,46,134,245
129,115,44,48,135,245
130,117,47,48,136,251
131,118,48,48,136,253
132,119,49,49,136,255
133,119,47,49,136,243
134,118,44,49,132,239
135,112,41,47,127,227
136,106,38,42,126,229
137,105,39,42,129,229
138,111,44,43,132,243
139,116,46,45,136,244
140,120,52,48,139,267
141,123,54,50,140,268
142,126,56,53,140,265
143,126,55,55,140,258
144,125,53,54,140,250
145,125,52,52,140,244
146,125,49,49,139,238
147,124,47,49,139,230
148,123,45,46,138,224
149,123,42,43,137,217
150,121,41,41,135,207
152,119,39,41,134,207
153,118,39,40,133,211
154,117,39,38,133,213
155,117,40,38,133,207
156,117,37,39,132,193
157,116,34,38,130,174
158,113,30,34,124,157
159,106,26,32,121,141
160,102,25,31,118,137
162,98,25,31,115,132
163,96,27,30,115,140
164,98,32,30,116,157
165,98,33,33,116,169
166,98,36,37,115,178
167,97,35,35,114,169
168,97,35,34,114,165
169,97,35,33,113,161
170,96,35,33,112,159
171,95,36,31,112,168
172,95,37,31,112,169
173,95,39,33,112,175
174,96,41,33,112,175
175,96,41,34,112,181
176,96,41,34,111,177
177,96,38,34,111,157
178,95,35,33,106,148
179,89,30,28,99,125
180,80,27,26,94,118
181,76,25,24,90,110
182,72,24,23,89,107
183,70,24,23,85,110
184,67,25,23,80,113
185,61,25,25,78,119
186,59,24,26,73,114
187,55,22,23,73,108
188,53,21,23,70,100
189,52,20,21,68,95
190,51,19,20,67,88
191,49,18,19,65,88
192,47,18,18,62,86
193,46,18,18,62,85
194,44,18,17,60,85
195,42,18,14,57,84
196,41,18,14,57,76
197,41,18,16,55,76
198,39,17,15,52,62
199,37,16,14,51,59
200,35,13,13,48,44
201,32,7,11,43,39
202,25,4,10,36,24
203,22,0,7,34,20
205,19,6,7,30,15
206,17,8,10,28,16
207,15,9,11,26,17
208,14,9,10,23,16
209,12,6,10,21,9
210,10,2,7,16,5
211,7,2,7,15,3
212,7,4,8,15,4
213,7,6,9,15,8
214,7,9,10,16,12
215,11,14,12,18,28
216,12,17,14,19,34
217,14,23,19,19,48
218,14,25,22,19,44
219,13,23,22,17,40
220,12,22,22,14,29
221,10,21,19,14,28
222,9,21,17,12,30
224,9,22,17,11,30
226,9,25,17,10,31
227,9,27,18,11,33
228,11,31,18,14,44
229,17,34,20,17,51
230,18,39,26,19,69
231,21,43,29,21,78
232,23,45,32,23,84
233,24,48,35,23,86
234,25,50,36,24,92
