x,a,b,c,d,index_value,label
248,36,66,45,24,141,1
249,36,67,45,26,149,1
250,38,69,45,26,153,1
251,38,69,46,26,158,1
252,38,66,46,25,152,1
253,37,65,42,25,150,1
254,38,64,39,25,149,1
256,38,65,39,25,148,1
257,38,64,37,25,143,1
258,38,64,36,25,142,1
259,38,64,36,25,140,1
260,38,64,36,24,140,1
261,38,61,34,23,127,1
262,37,59,33,22,124,1
263,36,58,29,21,118,1
264,37,61,29,22,126,1
265,37,62,32,22,129,1
266,37,63,33,22,133,1
267,38,63,31,23,134,1
268,38,66,31,26,141,1
269,42,70,31,29,149,1
270,45,75,34,32,164,1
271,46,78,39,32,174,1
272,46,81,43,33,183,1
273,47,81,43,33,186,1
274,47,81,44,33,186,1
275,47,85,42,33,188,1
276,47,87,42,33,189,1
277,46,92,45,33,193,1
278,45,94,45,31,198,1
280,46,95,45,31,202,1
281,46,94,44,32,202,1
282,47,92,42,32,190,1
283,47,90,42,32,185,1
284,47,88,38,31,175,1
285,47,86,35,31,175,1
286,47,86,35,31,178,1
287,47,87,33,31,179,1
288,47,87,34,31,181,1
289,48,86,34,32,181,1
290,48,86,32,32,180,1
291,49,86,32,33,179,1
292,49,85,30,33,177,1
293,50,85,29,34,179,1
295,51,87,29,36,182,1
296,53,88,29,38,187,1
297,54,90,30,40,190,1
298,56,94,33,42,201,1
299,57,95,35,43,203,1
300,58,97,38,44,208,1
301,59,97,39,44,207,1
302,59,97,38,44,205,1
303,59,95,37,44,198,1
304,58,93,36,44,194,1
305,58,90,33,43,181,1
306,57,88,31,41,176,1
307,56,86,29,40,169,1
308,56,85,27,39,171,1
309,56,84,26,39,172,1
310,55,84,26,39,171,1
311,55,84,26,39,164,1
312,56,83,24,39,161,1
313,56,82,23,39,155,1
314,56,81,22,38,154,1
315,55,81,22,37,154,1
316,55,81,22,37,153,1
317,55,80,21,37,152,1
318,55,80,19,37,156,1
319,55,80,19,37,158,1
320,55,81,20,38,160,1
321,56,83,20,39,163,1
322,56,85,21,39,164,1
323,57,86,21,40,171,1
324,58,87,22,40,175,1
325,58,88,23,41,178,1
326,58,88,23,41,179,1
327,58,88,23,41,178,1
328,58,88,23,41,177,1
329,58,87,23,41,170,1
330,58,87,22,41,165,1
331,58,85,21,40,156,1
332,58,84,21,40,148,1
333,58,82,19,39,142,1
334,57,81,18,39,136,1
335,57,81,17,38,135,1
336,57,82,17,38,138,1
337,57,84,18,38,143,1
338,57,84,19,38,146,1
339,57,84,18,38,146,1
340,57,84,18,38,144,1
341,57,83,17,38,143,1
342,57,83,16,37,141,1
343,57,83,16,37,140,1
344,57,83,16,37,140,1
345,57,83,15,37,138,1
346,57,82,15,37,132,1
347,57,75,14,36,126,1
348,56,72,12,34,119,1
349,54,65,7,28,116,1
351,51,67,7,29,127,1
352,53,71,10,31,141,1
353,54,74,11,32,150,1
354,55,76,14,33,161,1
355,55,78,17,33,166,1
356,55,78,19,33,171,1
357,55,79,18,34,172,1
358,56,80,18,35,175,1
359,57,82,18,37,182,1
360,60,85,19,40,189,1
361,61,88,23,42,196,1
362,62,90,26,43,202,1
363,63,90,27,44,202,1
364,64,91,27,45,203,1
365,64,91,27,45,205,1
366,64,92,27,46,207,1
367,65,92,27,48,209,1
368,66,92,26,49,211,1
369,67,93,26,49,212,1
370,67,98,26,49,214,1
371,67,100,27,48,218,1
372,67,107,30,49,224,1
373,69,109,33,52,228,1
374,70,111,36,53,233,1
375,70,111,38,54,234,1
376,71,111,37,54,235,1
377,71,111,37,56,237,1
379,74,113,37,59,243,1
380,74,113,39,60,246,1
381,75,114,39,61,247,1
383,77,115,39,62,250,1
384,77,115,39,64,249,1
385,78,115,39,64,248,1
386,78,115,39,64,248,1
387,78,115,38,64,250,1
388,78,115,37,65,249,1
389,79,115,37,65,247,1
390,79,115,36,65,244,1
391,79,114,35,65,239,1
392,79,113,34,65,239,1
393,79,112,33,64,234,1
394,78,111,32,64,232,1
395,78,111,32,64,230,1
396,78,110,29,64,229,1
397,78,109,29,64,228,1
398,78,109,28,64,226,1
399,79,108,27,65,228,1
400,79,109,27,67,229,1
401,81,111,28,68,235,1
402,81,111,29,68,236,1
403,81,111,30,70,237,1
404,82,111,29,70,237,1
405,83,111,29,70,236,1
406,83,111,29,70,234,1
407,84,111,28,72,234,1
408,84,113,28,73,240,1
409,85,114,28,73,241,1
410,85,114,30,73,242,1
411,85,114,29,73,241,1
412,85,113,28,75,242,1
413,88,115,28,77,248,1
414,88,117,28,78,250,1
415,88,119,30,78,257,1
416,88,119,32,78,257,1
417,88,118,31,78,253,1
418,88,117,30,78,247,1
419,88,116,29,78,244,1
420,88,115,27,78,240,1
421,89,114,26,78,240,1
422,89,114,25,79,246,1
423,89,115,25,79,248,1
424,89,115,26,79,255,1
425,89,115,26,79,256,1
426,89,116,25,79,259,1
427,89,116,25,79,254,1
428,89,116,27,79,251,1
